FID,the_geom,code,timestamp,air_pressure,air_temperature,relative_humidity,precipitation,wind_speed,wind_direction,qc_flags
aws_10min.fid--18bb3085_18f8bd049eb_-6e99,POINT (4.358 50.797),6447,2024-03-12T20:40:00,1001.21,10.68,98.91,0,,247.2,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e98,POINT (4.358 50.797),6447,2024-03-12T20:50:00,1001.36,10.69,98.91,0,,247,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e97,POINT (4.358 50.797),6447,2024-03-12T21:00:00,1001.42,10.71,98.76,0,,253.4,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e96,POINT (4.358 50.797),6447,2024-03-12T21:10:00,1001.53,10.75,98.42,0,,250.8,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e95,POINT (4.358 50.797),6447,2024-03-12T21:20:00,1001.59,10.72,98.77,0,,247.6,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e94,POINT (4.358 50.797),6447,2024-03-12T21:30:00,1001.6,10.7,99.03,0,,255.6,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e93,POINT (4.358 50.797),6447,2024-03-12T21:40:00,1001.72,10.68,99.1,0,,252.2,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e92,POINT (4.358 50.797),6447,2024-03-12T21:50:00,1001.72,10.65,99.51,0.06,,249.7,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e91,POINT (4.358 50.797),6447,2024-03-12T22:00:00,1001.84,10.62,99.78,0.06,,258.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e90,POINT (4.358 50.797),6447,2024-03-12T22:10:00,1001.83,10.61,99.62,0.35,,252,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e8f,POINT (4.358 50.797),6447,2024-03-12T22:20:00,1001.84,10.6,99.73,0.1,,243,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e8e,POINT (4.358 50.797),6447,2024-03-12T22:30:00,1001.96,10.59,99.84,0.06,,243.4,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e8d,POINT (4.358 50.797),6447,2024-03-12T22:40:00,1002.08,10.57,99.84,0.06,,248,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e8c,POINT (4.358 50.797),6447,2024-03-12T22:50:00,1002.08,10.55,99.81,0.06,,245,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e8b,POINT (4.358 50.797),6447,2024-03-12T23:00:00,1002.08,10.52,99.88,0.41,,246.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e8a,POINT (4.358 50.797),6447,2024-03-12T23:10:00,1002.1,10.49,99.97,0.19,,247.3,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e89,POINT (4.358 50.797),6447,2024-03-12T23:20:00,1002.11,10.45,100,0.15,,248.2,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e88,POINT (4.358 50.797),6447,2024-03-12T23:30:00,1002.2,10.45,99.94,0.03,,249.6,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e87,POINT (4.358 50.797),6447,2024-03-12T23:40:00,1002.2,10.43,99.99,0.1,,248.2,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e86,POINT (4.358 50.797),6447,2024-03-12T23:50:00,1002.32,10.42,100,0.37,,245.5,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e85,POINT (4.358 50.797),6447,2024-03-13T00:00:00,1002.32,10.41,100,0.06,,246.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e84,POINT (4.358 50.797),6447,2024-03-13T00:10:00,1002.44,10.4,100,0.09,,246.2,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e83,POINT (4.358 50.797),6447,2024-03-13T00:20:00,1002.39,10.38,100,0.13,,238.3,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e82,POINT (4.358 50.797),6447,2024-03-13T00:30:00,1002.33,10.36,100,0.23,,238.8,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e81,POINT (4.358 50.797),6447,2024-03-13T00:40:00,1002.34,10.35,100,0.09,,240.6,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e80,POINT (4.358 50.797),6447,2024-03-13T00:50:00,1002.43,10.35,100,0.14,,243,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e7f,POINT (4.358 50.797),6447,2024-03-13T01:00:00,1002.44,10.36,100,0,,240.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e7e,POINT (4.358 50.797),6447,2024-03-13T01:10:00,1002.54,10.36,99.97,0,,244.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e7d,POINT (4.358 50.797),6447,2024-03-13T01:20:00,1002.55,10.36,99.69,0,,249.2,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e7c,POINT (4.358 50.797),6447,2024-03-13T01:30:00,1002.45,10.37,99,0,,247.7,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e7b,POINT (4.358 50.797),6447,2024-03-13T01:40:00,1002.44,10.36,98.95,0,,250.2,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e7a,POINT (4.358 50.797),6447,2024-03-13T01:50:00,1002.54,10.35,98.34,0,,245.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e79,POINT (4.358 50.797),6447,2024-03-13T02:00:00,1002.56,10.35,98.11,0,,245.2,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e78,POINT (4.358 50.797),6447,2024-03-13T02:10:00,1002.62,10.32,97.91,0,,248.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e77,POINT (4.358 50.797),6447,2024-03-13T02:20:00,1002.56,10.29,97.72,0,,241.8,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e76,POINT (4.358 50.797),6447,2024-03-13T02:30:00,1002.61,10.26,97.66,0,,246.2,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e75,POINT (4.358 50.797),6447,2024-03-13T02:40:00,1002.68,10.27,97.02,0,,251.7,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e74,POINT (4.358 50.797),6447,2024-03-13T02:50:00,1002.75,10.25,97.29,0,,249.3,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e73,POINT (4.358 50.797),6447,2024-03-13T03:00:00,1002.8,10.23,97.08,0,,250,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e72,POINT (4.358 50.797),6447,2024-03-13T03:10:00,1002.8,10.16,97.77,0,,244.4,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e71,POINT (4.358 50.797),6447,2024-03-13T03:20:00,1002.8,10.12,98.11,0,,244,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e70,POINT (4.358 50.797),6447,2024-03-13T03:30:00,1002.8,10.11,97.64,0,,252.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e6f,POINT (4.358 50.797),6447,2024-03-13T03:40:00,1002.86,10.12,97.67,0,,245.4,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e6e,POINT (4.358 50.797),6447,2024-03-13T03:50:00,1002.8,10.13,97.67,0,,248.7,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e6d,POINT (4.358 50.797),6447,2024-03-13T04:00:00,1002.88,10.14,97.92,0,,243.5,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e6c,POINT (4.358 50.797),6447,2024-03-13T04:10:00,1002.92,10.13,98.22,0,,243.5,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
